Item,Subcategory,Location,Pack Type,Quantity,Expiry Date
Chicken Breast,Meat,Kitchen,Vacuum Sealed,500g,2023-12-31
Beef Steak,Meat,Garage,Wrapped,750g,2023-11-15
Frozen Peas,Vegetables,Kitchen,Bag,400g,2023-10-30
Ice Cream,Dessert,Kitchen,Tub,1L,2023-09-30
Frozen Berries,Fruit,Garage,Bag,300g,2023-12-15
Naan Bread,Bread,Basement,Wrapped,4 pieces,2023-10-01
Spring Rolls,Asian,Kitchen,Box,12 pieces,2023-11-20
Fish Fillets,Fish,Garage,Vacuum Sealed,600g,2023-10-25
Lasagna,Meal,Basement,Container,800g,2023-11-10
Croissants,Pastry,Kitchen,Bag,6 pieces,2023-09-15
Tomato Soup,Soup,Garage,Container,500ml,2023-12-20
Pasta Sauce,Sauce,Basement,Jar,350ml,2023-11-05 
