Item,Subcategory,Location,Pack Type,Quantity,Expiry Date
Pasta,Pasta,Kitchen,Box,500g,2024-12-31
Rice,Rice,Kitchen,Bag,1kg,2024-11-15
Flour,Baking,Kitchen,Bag,2kg,2024-10-30
Cereal,Breakfast,Basement,Box,750g,2024-09-30
Chips,Snacks,Kitchen,Bag,200g,2023-12-15
Coffee,Drinks,Kitchen,Jar,250g,2024-06-01
Canned Tomatoes,Canned,Basement,Can,400g,2025-11-20
Olive Oil,Oils,Kitchen,Bottle,500ml,2024-10-25
Black Pepper,Spices,Kitchen,Jar,100g,2025-11-10
Soy Sauce,Sauces,Basement,Bottle,300ml,2025-12-20 
